row_index,sheet_number,scope,bid_item,text,text_frequency
267,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,16
268,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,16
269,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,16
270,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,16
271,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,16
272,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,16
273,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,16
274,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,16
275,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,16
276,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,16
277,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,16
278,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,16
279,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,16
280,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,16
281,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,16
282,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,16
283,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,16
284,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,16
285,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,16
286,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,16
287,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,16
288,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,16
289,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,16
290,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,16
291,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,16
292,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,16
293,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,16
294,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,16
295,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,16
296,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A4,16
297,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,16
298,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AX,16
299,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,16
300,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AV,16
301,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,16
302,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,AZ,16
303,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,16
304,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A2,16
305,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,16
306,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A3,16
307,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,16
308,A-005,Thermal Protection,Furnish & Install Wall Partition Assemblies As Per Wall Type Schedules And Tags,A1,16
